Temps (s),Angle (rad)
4.109192,-0.534070751
4.117384,-0.5560619
4.124552,-0.578053048
4.132744,-0.600044197
4.140936,-0.622035345
4.149128,-0.640884901
4.15732,-0.66287605
4.165512,-0.681725606
4.17268,-0.703716754
4.180872,-0.72256631
4.189064,-0.738274274
4.197256,-0.75712383
4.205448,-0.775973385
4.212616,-0.791681349
4.220808,-0.807389312
4.229,-0.823097275
4.237192,-0.838805239
4.245384,-0.854513202
4.252552,-0.867079572
4.260744,-0.879645943
4.268936,-0.892212314
4.277128,-0.904778684
4.28532,-0.917345055
4.293512,-0.926769833
4.30068,-0.939336203
4.308872,-0.948760981
4.317064,-0.955044167
4.325256,-0.964468945
4.333448,-0.97075213
4.340616,-0.980176908
4.348808,-0.986460093
4.357,-0.989601686
4.365192,-0.995884871
4.373384,-0.999026464
4.380552,-1.00216806
4.388744,-1.00530965
4.396936,-1.00845124
4.4338,-1.00530965
4.445064,-1.00216806
4.453256,-0.999026464
4.461448,-0.995884871
4.468616,-0.992743279
4.476808,-0.986460093
4.485,-0.980176908
4.493192,-0.973893723
4.501384,-0.967610537
4.508552,-0.961327352
4.516744,-0.951902574
4.524936,-0.942477796
4.533128,-0.933053018
4.54132,-0.920486648
4.549512,-0.91106187
4.55668,-0.898495499
4.564872,-0.885929128
4.573064,-0.873362758
4.581256,-0.860796387
4.589448,-0.845088424
4.596616,-0.832522053
4.604808,-0.81681409
4.613,-0.801106127
4.621192,-0.782256571
4.629384,-0.766548607
4.636552,-0.747699052
4.644744,-0.731991088
4.652936,-0.713141532
4.661128,-0.694291976
4.66932,-0.675442421
4.676488,-0.656592865
4.68468,-0.634601716
4.692872,-0.61575216
4.701064,-0.593761012
4.709256,-0.571769863
4.717448,-0.549778714
4.724616,-0.527787566
4.732808,-0.505796417
4.741,-0.480663676
4.749192,-0.458672527
4.757384,-0.433539786
4.764552,-0.411548638
4.772744,-0.386415896
4.780936,-0.361283155
4.789128,-0.339292007
4.79732,-0.314159265
4.805512,-0.289026524
4.81268,-0.263893783
4.820872,-0.238761042
4.829064,-0.210486708
4.837256,-0.185353967
4.845448,-0.160221225
4.852616,-0.135088484
4.860808,-0.109955743
4.869,-0.081681409
4.877192,-0.0565486678
4.885384,-0.0314159265
4.892552,-0.00628318531
4.900744,0.0219911486
4.908936,0.0471238898
4.917128,0.072256631
4.92532,0.0973893723
4.933512,0.122522113
4.94068,0.150796447
4.948872,0.175929189
4.957064,0.20106193
4.965256,0.226194671
4.973448,0.251327412
