Temps (s),Angle (rad)
6.950092,0.320442451
6.958284,0.342433599
6.966476,0.364424748
6.974668,0.383274304
6.98286,0.405265452
6.990028,0.427256601
6.99822,0.446106157
7.006412,0.464955713
7.014604,0.486946861
7.022796,0.505796417
7.030988,0.524645973
7.038156,0.543495529
7.046348,0.562345085
7.05454,0.578053048
7.062732,0.596902604
7.070924,0.612610567
7.078092,0.631460123
7.086284,0.647168087
7.094476,0.66287605
7.102668,0.678584013
7.11086,0.691150384
7.119052,0.706858347
7.12622,0.719424718
7.134412,0.735132681
7.142604,0.747699052
7.150796,0.760265422
7.158988,0.772831793
7.166156,0.782256571
7.174348,0.794822941
7.18254,0.804247719
7.190732,0.813672497
7.198924,0.823097275
7.207116,0.832522053
7.214284,0.841946831
7.222476,0.848230016
7.230668,0.857654794
7.23886,0.86393798
7.247052,0.870221165
7.255244,0.873362758
7.262412,0.879645943
7.270604,0.882787536
7.278796,0.885929128
7.286988,0.889070721
7.29518,0.892212314
7.302348,0.895353906
7.318732,0.898495499
7.337164,0.895353906
7.353548,0.892212314
7.363788,0.889070721
7.37198,0.885929128
7.379148,0.882787536
7.385292,0.879645943
7.390412,0.87650435
7.398604,0.873362758
7.406796,0.867079572
7.414988,0.860796387
7.42318,0.854513202
7.431372,0.848230016
7.43854,0.838805239
7.446732,0.829380461
7.454924,0.823097275
7.463116,0.813672497
7.471308,0.801106127
7.478476,0.791681349
7.486668,0.782256571
7.49486,0.7696902
7.503052,0.75712383
7.511244,0.744557459
7.518412,0.731991088
7.526604,0.719424718
7.534796,0.703716754
7.542988,0.688008791
7.55118,0.675442421
7.559372,0.659734457
7.56654,0.644026494
7.574732,0.628318531
7.582924,0.609468975
7.591116,0.593761012
7.599308,0.574911456
7.606476,0.559203492
7.614668,0.540353936
7.62286,0.52150438
7.631052,0.502654825
7.639244,0.483805269
7.647436,0.464955713
7.654604,0.442964564
7.662796,0.424115008
7.670988,0.405265452
7.67918,0.383274304
7.687372,0.361283155
7.69454,0.342433599
7.702732,0.320442451
7.710924,0.298451302
7.719116,0.276460154
7.727308,0.254469005
7.7355,0.232477856
7.742668,0.210486708
7.75086,0.188495559
7.759052,0.166504411
7.767244,0.141371669
7.775436,0.119380521
7.782604,0.0973893723
7.790796,0.072256631
7.798988,0.0502654825
7.80718,0.0282743339
7.815372,0.00628318531
7.823564,-0.0188495559
7.831756,-0.0408407045
7.838924,-0.0628318531
7.847116,-0.0879645943
7.855308,-0.109955743
7.8635,-0.131946891
7.871692,-0.15393804
7.87886,-0.179070781
7.887052,-0.20106193
7.895244,-0.223053078
7.903436,-0.245044227
7.911628,-0.267035376
7.918796,-0.289026524
7.926988,-0.311017673
7.93518,-0.333008821
7.943372,-0.351858377
7.951564,-0.373849526
7.959756,-0.395840674
7.966924,-0.41469023
7.975116,-0.436681379
7.983308,-0.455530935
7.9915,-0.474380491
7.999692,-0.493230047
8.00686,-0.512079603
8.015052,-0.530929158
8.023244,-0.549778714
8.031436,-0.565486678
8.039628,-0.584336234
8.046796,-0.600044197
8.054988,-0.618893753
8.06318,-0.634601716
8.071372,-0.650309679
8.079564,-0.66287605
8.086732,-0.678584013
8.094924,-0.694291976
8.103116,-0.706858347
8.111308,-0.719424718
8.1195,-0.731991088
8.127692,-0.744557459
8.13486,-0.75712383
8.143052,-0.7696902
8.151244,-0.779114978
8.159436,-0.788539756
8.167628,-0.797964534
8.174796,-0.807389312
8.182988,-0.81681409
8.19118,-0.823097275
8.199372,-0.829380461
8.207564,-0.835663646
8.215756,-0.841946831
8.222924,-0.848230016
8.231116,-0.851371609
8.239308,-0.857654794
8.2475,-0.860796387
8.255692,-0.86393798
8.263884,-0.867079572
8.276172,-0.870221165
8.309964,-0.867079572
8.323276,-0.86393798
8.332492,-0.860796387
