Wavelength (nm) - Measure	Measured Reflectance (%)  - Measure	Wavelength (nm) - Fit	Theorical Reflectance (0..1) - Fit	Wavelength (nm) - Tracé 2	Theorical Reflectance (0..1) - Tracé 2
534.55	46.319	679.75	0.640202	0.46319	
534.91	46.973	680.75	0.644341	0.46973	
535.27	46.776	681.75	0.648406	0.46776	
535.63	46.731	682.75	0.652576	0.46731	
535.99	47.329	683.75	0.65656	0.47329	
536.35	49.208	684.75	0.660539	0.49208	
536.71	49.946	685.75	0.664298	0.49946	
537.07	50.104	686.75	0.668147	0.50104	
537.42	50.052	687.75	0.671909	0.50052	
537.78	52.411	688.75	0.675448	0.52411	
538.14	52.242	689.75	0.678975	0.52242	
538.5	53.476	690.75	0.682248	0.53476	
538.86	53.443	691.75	0.685604	0.53443	
539.21	54.145	692.75	0.688859	0.54145	
539.57	55.847	693.75	0.691974	0.55847	
539.93	57.056	694.75	0.694892	0.57056	
540.29	57.619	695.75	0.697772	0.57619	
540.64	58.693	696.75	0.70054	0.58693	
541	59.902	697.75	0.702915	0.59902	
541.36	59.384	698.75	0.706808	0.59384	
541.72	61.275	699.75	0.70919	0.61275	
542.07	60.136	700.75	0.711411	0.60136	
542.43	61.327	701.75	0.713525	0.61327	
542.79	63.204	702.75	0.715522	0.63204	
543.15	65.166	703.75	0.717364	0.65166	
543.5	64.198	704.75	0.719078	0.64198	
543.86	66.57	705.75	0.720663	0.6657	
544.22	69.103	706.75	0.72212	0.69103	
544.57	66.922	707.75	0.723447	0.66922	
544.93	69.135	708.75	0.724645	0.69135	
545.29	70.537	709.75	0.725714	0.70537	
545.64	70.668	710.75	0.72664	0.70668	
546	71.648	711.75	0.727425	0.71648	
546.35	73.664	712.75	0.728108	0.73664	
546.71	72.133	713.75	0.728662	0.72133	
547.07	74.081	714.75	0.729091	0.74081	
547.42	76.163	715.75	0.729597	0.76163	
547.78	75.928	716.75	0.729769	0.75928	
548.13	78.503	717.75	0.729816	0.78503	
548.49	78.861	718.75	0.729778	0.78861	
548.85	79.509	719.75	0.729581	0.79509	
549.2	80.361	720.75	0.729246	0.80361	
549.56	82.231	721.75	0.728779	0.82231	
549.91	81.268	722.75	0.728215	0.81268	
550.27	83.286	723.75	0.727743	0.83286	
550.62	84.306	724.75	0.726938	0.84306	
550.98	83.551	725.75	0.726044	0.83551	
551.33	87.285	726.75	0.725006	0.87285	
551.69	87.103	727.75	0.723841	0.87103	
552.04	85.9	728.75	0.722799	0.859	
552.4	87.115	729.75	0.721426	0.87115	
552.75	88.497	730.75	0.719964	0.88497	
553.11	89.087	731.75	0.718375	0.89087	
553.46	87.766	732.75	0.716672	0.87766	
553.81	91.738	733.75	0.715099	0.91738	
554.17	92.271	734.75	0.713214	0.92271	
554.52	92.201	735.75	0.711217	0.92201	
554.88	92.857	736.75	0.709118	0.92857	
555.23	95.853	737.75	0.707154	0.95853	
555.58	95.522	738.75	0.704878	0.95522	
555.94	96.805	739.75	0.702506	0.96805	
556.29	94.981	740.75	0.700271	0.94981	
556.65	97.204	741.75	0.697729	0.97204	
