Lambda	Reflectivite
743.33	600
743.57	175
743.8	142.857
744.04	0
744.28	0
744.52	-400
744.76	140
744.99	85.714
745.23	88.889
745.47	166.667
745.71	0
745.94	150
746.18	150
746.41	300
746.65	200
746.88	-83.333
747.12	100
747.35	0
747.59	66.667
747.82	83.333
748.06	500
748.29	116.667
748.52	0
748.76	-33.333
748.99	50
749.22	-100
749.45	120
749.68	33.333
749.92	0
750.15	50
750.38	200
750.61	100
750.84	133.333
751.07	50
751.3	14.286
751.53	0
751.76	500
751.99	300
752.22	300
752.44	-33.333
752.67	100
752.9	0
753.13	16.667
753.35	0
753.58	400
753.81	0
754.03	-100
754.26	125
754.49	0
754.71	0
754.94	-500
755.16	300
755.39	-500
755.61	100
755.84	400
756.06	75
756.28	-100
756.51	25
756.73	-14.286
756.95	-50
757.17	200
757.4	80
757.62	50
757.84	-200
758.06	-66.667
758.28	80
758.5	-133.333
758.72	0
758.94	-20
759.16	-400
759.38	200
759.6	33.333
759.82	42.857
760.04	-200
760.25	200
760.47	0
760.69	40
760.91	200
761.12	-200
761.34	100
761.56	50
761.77	60
761.99	42.857
762.2	33.333
762.42	350
762.63	0
762.85	120
763.06	-50
763.28	37.5
763.49	69.231
763.7	85.714
763.92	0
764.13	33.333
764.34	300
764.55	140
764.77	33.333
764.98	200
765.19	200
765.4	66.667
765.61	25
765.82	150
766.03	0
766.24	75
766.45	100
766.66	100
766.87	200
767.07	0
767.28	-200
767.49	100
767.7	100
767.91	120
768.11	50
768.32	600
768.53	-133.333
768.73	0
768.94	75
769.14	60
769.35	133.333
769.55	75
769.76	180
769.96	-133.333
770.16	220
770.37	0
770.57	100
770.77	166.667
770.98	85.714
771.18	0
771.38	62.5
771.58	400
771.78	25
771.98	250
772.18	300
772.38	87.5
772.58	200
772.78	50
772.98	54.545
773.18	180
773.38	75
773.58	83.333
773.78	0
773.98	200
774.17	300
774.37	69.231
774.57	266.667
774.76	85.714
774.96	133.333
775.16	100
775.35	100
775.55	0
775.74	300
775.94	66.667
776.13	75
776.32	20
776.52	100
776.71	-100
776.9	81.818
777.1	114.286
777.29	600
777.48	225
777.67	66.667
777.86	300
778.06	450
778.25	50
778.44	0
778.63	75
778.82	-300
779.01	140
779.19	166.667
779.38	100
779.57	-100
779.76	100
779.95	500
780.14	200
780.32	66.667
780.51	133.333
780.7	111.111
780.88	100
781.07	128.571
781.25	75
781.44	600
781.62	250
781.81	180
781.99	12.5
782.18	0
782.36	0
782.54	0
782.72	-100
782.91	200
783.09	125
783.27	50
783.45	-66.667
783.63	60
783.81	50
784	0
784.18	300
784.36	100
784.54	600
784.71	50
784.89	200
785.07	0
785.25	0
785.43	50
785.61	87.5
785.78	125
785.96	33.333
786.14	0
786.31	100
786.49	50
786.66	166.667
786.84	25
787.01	-100
787.19	22.222
787.36	100
787.54	400
787.71	300
787.88	100
788.05	0
788.23	-100
788.4	100
788.57	133.333
788.74	40
788.91	100
789.08	0
789.25	175
789.42	80
789.59	0
789.76	-300
789.93	0
790.1	-100
790.27	0
790.44	100
790.61	100
790.77	75
790.94	166.667
791.11	-33.333
791.27	0
791.44	400
791.6	0
791.77	100
791.93	0
792.1	125
792.26	100
792.43	-100
792.59	0
792.75	0
792.92	200
793.08	-800
793.24	-133.333
793.4	0
793.56	0
793.72	-100
793.88	-150
794.05	0
794.21	150
794.36	0
794.52	133.333
794.68	-20
794.84	-50
795	200
795.16	60
795.32	0
795.47	66.667
795.63	250
795.79	100
795.94	-33.333
796.1	600
796.25	150
796.41	-50
796.56	350
796.72	100
796.87	0
797.02	0
797.18	75
797.33	33.333
797.48	0
797.64	100
797.79	100
797.94	125
798.09	0
798.24	400
798.39	0
798.54	50
798.69	50
798.84	-66.667
798.99	66.667
799.14	100
799.29	133.333
799.43	200
799.58	22.222
799.73	-20
799.87	-200
800.02	33.333
800.17	33.333
800.31	0
800.46	-50
800.6	200
800.75	-400
800.89	250
801.04	0
801.18	100
801.32	-66.667
801.47	100
801.61	14.286
801.75	400
801.89	0
802.03	0
802.17	0
802.31	133.333
802.45	120
802.59	300
802.73	100
802.87	0
803.01	-175
803.15	200
803.29	20
803.43	0
803.56	0
803.7	400
803.84	233.333
803.97	0
804.11	100
804.24	-50
804.38	75
804.51	50
804.65	66.667
804.78	0
804.91	-100
805.05	350
805.18	400
805.31	66.667
805.45	125
805.58	300
805.71	-50
805.84	-25
805.97	-100
806.1	0
806.23	-400
806.36	100
806.49	28.571
806.62	50
806.75	0
806.87	37.5
807	0
807.13	200
807.25	133.333
807.38	100
807.51	140
807.63	50
807.76	300
807.88	50
808.01	0
808.13	133.333
808.26	25
808.38	0
808.5	-200
808.62	25
808.75	-100
808.87	-100
808.99	-66.667
809.11	0
809.23	75
809.35	-100
809.47	-250
809.59	33.333
809.71	50
809.83	400
809.95	33.333
810.07	0
810.18	0
810.3	0
810.42	700
810.53	0
810.65	100
810.77	71.429
810.88	133.333
811	250
811.11	100
811.23	50
811.34	-133.333
811.45	66.667
811.57	250
811.68	0
811.79	200
811.9	-200
812.01	500
812.12	0
812.23	0
812.35	0
812.46	0
812.56	0
812.67	-133.333
812.78	75
812.89	100
813	33.333
813.11	0
813.21	100
813.32	0
813.43	37.5
813.53	33.333
813.64	75
813.74	0
813.85	300
813.95	-50
814.06	100
814.16	50
814.26	266.667
814.37	166.667
814.47	-100
814.57	20
814.67	300
814.77	50
814.87	-66.667
814.97	0
815.07	166.667
815.17	0
815.27	-200
815.37	120
815.47	66.667
815.57	100
815.67	0
815.76	25
815.86	33.333
815.96	50
816.05	0
816.15	0
816.24	0
816.34	0
816.43	60
816.53	100
816.62	100
816.71	0
816.81	0
816.9	100
816.99	0
817.08	0
817.17	150
817.26	100
817.35	-100
817.44	0
817.53	200
817.62	0
817.71	50
817.8	0
817.89	33.333
817.98	0
818.06	0
818.15	0
818.24	-80
818.32	300
818.41	60
818.49	200
818.58	0
818.66	83.333
818.74	0
818.83	-100
818.91	200
818.99	0
819.08	200
819.16	-300
819.24	40
819.32	0
819.4	300
819.48	100
819.56	100
819.64	-100
819.72	60
819.8	180
819.88	0
819.95	40
820.03	900
820.11	0
820.18	0
820.26	100
820.33	0
820.41	-50
820.48	50
820.56	83.333
820.63	133.333
820.71	66.667
820.78	0
820.85	100
820.92	-50
821	0
821.07	0
821.14	125
821.21	-50
821.28	-200
821.35	33.333
821.42	0
821.49	133.333
821.56	112.5
821.62	114.286
821.69	25
821.76	800
821.83	600
821.89	-50
821.96	133.333
822.02	-400
822.09	80
822.15	-150
822.22	-300
822.28	0
822.34	400
822.41	60
822.47	-100
822.53	-100
822.59	28.571
822.66	400
822.72	175
822.78	33.333
822.84	0
822.9	-200
822.96	-100
823.01	33.333
823.07	100
823.13	100
823.19	100
823.24	100
823.3	0
823.36	0
823.41	-50
823.47	20
823.52	50
823.58	-100
823.63	128.571
823.68	0
823.74	0
823.79	300
823.84	300
823.89	200
823.95	-100
824	200
824.05	100
824.1	0
824.15	150
824.2	50
824.25	11.111
824.29	50
824.34	200
824.39	500
824.44	100
824.48	150
824.53	150
824.57	-150
824.62	0
824.66	-33.333
824.71	200
824.75	40
824.8	-400
824.84	400
824.88	-33.333
824.92	233.333
824.97	-100
825.01	-75
825.05	50
825.09	50
825.13	150
825.17	-75
825.21	-50
825.25	200
825.29	0
825.32	16.667
825.36	0
825.4	600
825.43	-133.333
825.47	-150
825.51	0
825.54	100
825.58	-200
825.61	16.667
825.64	-50
825.68	0
825.71	125
825.74	300
825.77	-50
825.81	-50
825.84	50
825.87	100
825.9	125
825.93	-50
825.96	0
825.99	-66.667
826.02	0
826.04	25
826.07	400
826.1	400
826.12	300
826.15	-133.333
826.18	0
826.2	0
826.23	100
826.25	100
826.28	0
826.3	0
826.32	-100
826.34	-166.667
826.37	75
826.39	133.333
826.41	175
826.43	700
826.45	-100
826.47	0
826.49	0
826.51	50
826.53	0
826.55	400
826.56	0
826.58	-50
826.6	66.667
826.61	200
826.63	100
826.65	0
826.66	-100
826.67	0
826.69	75
826.7	400
826.72	50
826.73	200
826.74	233.333
826.75	80
826.76	0
826.77	66.667
826.78	300
826.79	0
826.8	-300
826.81	300
826.82	75
826.83	-300
826.84	-100
826.84	50
826.85	0
826.86	0
826.86	300
826.87	83.333
826.87	0
826.88	0
826.88	225
826.88	166.667
826.89	150
826.89	-33.333
826.89	175
826.89	500
826.89	0
826.89	200
826.89	133.333
826.89	100
826.89	400
826.89	100
826.89	0
826.89	33.333
826.89	500
826.88	300
826.88	200
826.87	40
826.87	-50
826.87	0
826.86	0
826.85	400
826.85	150
826.84	60
826.83	100
826.83	50
826.82	50
826.81	-100
826.8	200
826.79	0
826.78	100
826.77	100
826.76	-200
826.75	166.667
826.73	60
826.72	50
826.71	25
826.69	100
826.68	133.333
826.67	0
826.65	50
826.64	-500
826.62	-100
826.6	-16.667
826.59	100
826.57	200
826.55	-20
826.53	50
826.51	-60
826.5	80
826.48	-50
826.46	0
826.43	66.667
826.41	66.667
826.39	200
826.37	166.667
826.35	0
826.32	40
826.3	20
826.28	66.667
826.25	0
826.23	0
826.2	150
826.18	0
826.15	75
826.12	-100
826.1	100
826.07	0
826.04	-50
826.01	200
825.98	233.333
825.95	-100
825.92	25
825.89	160
825.86	33.333
825.83	-300
825.79	71.429
825.76	0
825.73	80
825.69	0
825.66	-600
825.63	-25
825.59	0
825.56	-66.667
825.52	166.667
825.48	0
825.45	77.778
825.41	50
825.37	150
825.33	400
825.29	0
825.25	100
825.21	42.857
